institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,13,ASF Item,Other liabilities:,All other liabilities and equity not included in the above categories,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,asf_other_rest,,14,3,ocbc_4q24_p3,nsfr_dec24,14,3,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,13,ASF Item,Other liabilities:,All other liabilities and equity not included in the above categories,,,3,Unweighted value by residual maturity,≥ 1yr,2,161.0,161,reported,0,1,asf_other_rest,,14,4,ocbc_4q24_p3,nsfr_dec24,14,4,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,13,ASF Item,Other liabilities:,All other liabilities and equity not included in the above categories,,,3,Weighted value,,1,158.0,158,reported,0,1,asf_other_rest,,14,5,ocbc_4q24_p3,nsfr_dec24,14,5,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,14,ASF Item,Total ASF,,,,2,Unweighted value by residual maturity,No Maturity,2,,,empty,1,4,asf_total,,15,1,ocbc_4q24_p3,nsfr_dec24,15,1,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,14,ASF Item,Total ASF,,,,2,Weighted value,,1,319286.0,"319,286",reported,0,1,asf_total,,15,5,ocbc_4q24_p3,nsfr_dec24,15,5,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,15,RSF Item,Total NSFR HQLA,,,,2,Unweighted value by residual maturity,No Maturity,2,,,empty,1,4,,,17,1,ocbc_4q24_p3,nsfr_dec24,17,1,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,15,RSF Item,Total NSFR HQLA,,,,2,Weighted value,,1,7784.0,"7,784",reported,0,1,,,17,5,ocbc_4q24_p3,nsfr_dec24,17,5,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,16,RSF Item,Deposits held at other financial institutions for operational purposes,,,,2,Unweighted value by residual maturity,No Maturity,2,,-,null,0,1,rsf_fi_op,,18,1,ocbc_4q24_p3,nsfr_dec24,18,1,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,16,RSF Item,Deposits held at other financial institutions for operational purposes,,,,2,Unweighted value by residual maturity,< 6 months,2,,-,null,0,1,rsf_fi_op,,18,2,ocbc_4q24_p3,nsfr_dec24,18,2,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,16,RSF Item,Deposits held at other financial institutions for operational purposes,,,,2,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,rsf_fi_op,,18,3,ocbc_4q24_p3,nsfr_dec24,18,3,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,16,RSF Item,Deposits held at other financial institutions for operational purposes,,,,2,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,rsf_fi_op,,18,4,ocbc_4q24_p3,nsfr_dec24,18,4,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,16,RSF Item,Deposits held at other financial institutions for operational purposes,,,,2,Weighted value,,1,,-,null,0,1,rsf_fi_op,,18,5,ocbc_4q24_p3,nsfr_dec24,18,5,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,17,RSF Item,Performing loans and securities:,,,,2,Unweighted value by residual maturity,No Maturity,2,8516.0,"8,516",reported,0,1,rsf_perf,,19,1,ocbc_4q24_p3,nsfr_dec24,19,1,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,17,RSF Item,Performing loans and securities:,,,,2,Unweighted value by residual maturity,< 6 months,2,128367.0,"128,367",reported,0,1,rsf_perf,,19,2,ocbc_4q24_p3,nsfr_dec24,19,2,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,17,RSF Item,Performing loans and securities:,,,,2,Unweighted value by residual maturity,6 months to <1 yr,2,34603.0,"34,603",reported,0,1,rsf_perf,,19,3,ocbc_4q24_p3,nsfr_dec24,19,3,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,17,RSF Item,Performing loans and securities:,,,,2,Unweighted value by residual maturity,≥ 1yr,2,215292.0,"215,292",reported,0,1,rsf_perf,,19,4,ocbc_4q24_p3,nsfr_dec24,19,4,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,17,RSF Item,Performing loans and securities:,,,,2,Weighted value,,1,246578.0,"246,578",reported,0,1,rsf_perf,,19,5,ocbc_4q24_p3,nsfr_dec24,19,5,1
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,18,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by Level 1 HQLA,,,3,Unweighted value by residual maturity,No Maturity,2,,-,null,0,1,,,20,1,ocbc_4q24_p3,nsfr_dec24,20,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,18,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by Level 1 HQLA,,,3,Unweighted value by residual maturity,< 6 months,2,4717.0,"4,717",reported,0,1,,,20,2,ocbc_4q24_p3,nsfr_dec24,20,2,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,18,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by Level 1 HQLA,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,116.0,116,reported,0,1,,,20,3,ocbc_4q24_p3,nsfr_dec24,20,3,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,18,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by Level 1 HQLA,,,3,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,,,20,4,ocbc_4q24_p3,nsfr_dec24,20,4,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,18,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by Level 1 HQLA,,,3,Weighted value,,1,839.0,839,reported,0,1,,,20,5,ocbc_4q24_p3,nsfr_dec24,20,5,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,19,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by non-Level 1 HQLA and unsecured performing loans to financial institutions,,,3,Unweighted value by residual maturity,No Maturity,2,2410.0,"2,410",reported,0,1,,,21,1,ocbc_4q24_p3,nsfr_dec24,21,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,19,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by non-Level 1 HQLA and unsecured performing loans to financial institutions,,,3,Unweighted value by residual maturity,< 6 months,2,23168.0,"23,168",reported,0,1,,,21,2,ocbc_4q24_p3,nsfr_dec24,21,2,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,19,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by non-Level 1 HQLA and unsecured performing loans to financial institutions,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,5424.0,"5,424",reported,0,1,,,21,3,ocbc_4q24_p3,nsfr_dec24,21,3,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,19,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by non-Level 1 HQLA and unsecured performing loans to financial institutions,,,3,Unweighted value by residual maturity,≥ 1yr,2,13504.0,"13,504",reported,0,1,,,21,4,ocbc_4q24_p3,nsfr_dec24,21,4,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,19,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by non-Level 1 HQLA and unsecured performing loans to financial institutions,,,3,Weighted value,,1,20348.0,"20,348",reported,0,1,,,21,5,ocbc_4q24_p3,nsfr_dec24,21,5,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,20,RSF Item,Performing loans and securities:,"Performing loans to non-financial corporate clients, loans to retail and small business customers, and loans to sovereigns, central banks and PSEs, of which:",,,3,Unweighted value by residual maturity,No Maturity,2,4578.0,"4,578",reported,0,1,,,22,1,ocbc_4q24_p3,nsfr_dec24,22,1,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,20,RSF Item,Performing loans and securities:,"Performing loans to non-financial corporate clients, loans to retail and small business customers, and loans to sovereigns, central banks and PSEs, of which:",,,3,Unweighted value by residual maturity,< 6 months,2,81974.0,"81,974",reported,0,1,,,22,2,ocbc_4q24_p3,nsfr_dec24,22,2,2
Oversea-Chinese Banking Corporation Limited,2024-12-31,nsfr,NSFR Disclosure Template,,20,RSF Item,Performing loans and securities:,"Performing loans to non-financial corporate clients, loans to retail and small business customers, and loans to sovereigns, central banks and PSEs, of which:",,,3,Unweighted value by residual maturity,6 months to <1 yr,2,16181.0,"16,181",reported,0,1,,,22,3,ocbc_4q24_p3,nsfr_dec24,22,3,2
