institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,12,ASF Item,Other liabilities:,NSFR derivative liabilities,,,3,Weighted value,,1,,,empty,1,1,asf_other_deriv,,13,5,dbs_4q23_p3,nsfr_dec23,13,5,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,13,ASF Item,Other liabilities:,All other liabilities and equity not included in the above categories,,,3,Unweighted value by residual maturity,No Maturity,2,15536.0,"15,536",reported,0,1,asf_other_rest,,14,1,dbs_4q23_p3,nsfr_dec23,14,1,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,13,ASF Item,Other liabilities:,All other liabilities and equity not included in the above categories,,,3,Unweighted value by residual maturity,< 6 months,2,772.0,772,reported,0,1,asf_other_rest,,14,2,dbs_4q23_p3,nsfr_dec23,14,2,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,13,ASF Item,Other liabilities:,All other liabilities and equity not included in the above categories,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,asf_other_rest,,14,3,dbs_4q23_p3,nsfr_dec23,14,3,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,13,ASF Item,Other liabilities:,All other liabilities and equity not included in the above categories,,,3,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,asf_other_rest,,14,4,dbs_4q23_p3,nsfr_dec23,14,4,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,13,ASF Item,Other liabilities:,All other liabilities and equity not included in the above categories,,,3,Weighted value,,1,1777.0,"1,777",reported,0,1,asf_other_rest,,14,5,dbs_4q23_p3,nsfr_dec23,14,5,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,14,ASF Item,Total ASF,,,,2,Unweighted value by residual maturity,No Maturity,2,,,empty,1,4,asf_total,,15,1,dbs_4q23_p3,nsfr_dec23,15,1,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,14,ASF Item,Total ASF,,,,2,Weighted value,,1,448070.0,"448,070",reported,0,1,asf_total,,15,5,dbs_4q23_p3,nsfr_dec23,15,5,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,15,RSF Item,Total NSFR high-quality liquid assets (HQLA),,,,2,Unweighted value by residual maturity,No Maturity,2,,,empty,1,4,rsf_hqla,,37,1,dbs_4q23_p3,nsfr_dec23,17,1,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,15,RSF Item,Total NSFR high-quality liquid assets (HQLA),,,,2,Weighted value,,1,16903.0,"16,903",reported,0,1,rsf_hqla,,37,5,dbs_4q23_p3,nsfr_dec23,17,5,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,16,RSF Item,Deposits held at other financial institutions for operational purposes,,,,2,Unweighted value by residual maturity,No Maturity,2,1179.0,"1,179",reported,0,1,rsf_fi_op,,18,1,dbs_4q23_p3,nsfr_dec23,18,1,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,16,RSF Item,Deposits held at other financial institutions for operational purposes,,,,2,Unweighted value by residual maturity,< 6 months,2,,-,null,0,1,rsf_fi_op,,18,2,dbs_4q23_p3,nsfr_dec23,18,2,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,16,RSF Item,Deposits held at other financial institutions for operational purposes,,,,2,Unweighted value by residual maturity,6 months to <1 yr,2,,-,null,0,1,rsf_fi_op,,18,3,dbs_4q23_p3,nsfr_dec23,18,3,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,16,RSF Item,Deposits held at other financial institutions for operational purposes,,,,2,Unweighted value by residual maturity,≥ 1yr,2,,-,null,0,1,rsf_fi_op,,18,4,dbs_4q23_p3,nsfr_dec23,18,4,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,16,RSF Item,Deposits held at other financial institutions for operational purposes,,,,2,Weighted value,,1,589.0,589,reported,0,1,rsf_fi_op,,18,5,dbs_4q23_p3,nsfr_dec23,18,5,1
