check,detail
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs NULL=-43 (ratio=0.032, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs NULL=-52 (ratio=0.039, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs NULL=-57 (ratio=0.043, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs NULL=-30 (ratio=0.023, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2025-06-30: as_at=-1332 vs NULL=-43 (ratio=0.032, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-06-30: as_at=-1422 vs 1H=334 (ratio=0.23, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-06-30: as_at=-1422 vs 1H=251 (ratio=0.18, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-06-30: as_at=-1422 vs 1H=-334 (ratio=0.23, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-06-30: as_at=-1422 vs 1H=251 (ratio=0.18, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-06-30: as_at=-1422 vs 1H=334 (ratio=0.23, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-06-30: as_at=-1422 vs 2Q=154 (ratio=0.11, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-06-30: as_at=-1422 vs 2Q=-154 (ratio=0.11, seg=SEG_TOTAL, geo=GLOBAL)"
